,color
HP:0002203,7
HP:0006670,5
HP:0011481,3
HP:0000074,1
HP:0011388,22
HP:0000402,22
HP:0000413,22
HP:0004452,22
HP:0008586,22
HP:0009796,3
HP:0002138,7
HP:0200008,8
HP:0001082,17
HP:0001342,7
HP:0011025,5
HP:0100784,5
HP:0000270,3
HP:0001357,3
HP:0011386,22
HP:0005037,15
HP:0009899,22
HP:0000366,3
HP:0001003,9
HP:0002672,8
HP:0005244,17
HP:0006725,8
HP:0008675,1
HP:0011024,17
HP:0012126,8
HP:0012720,3
HP:0030079,1
HP:0100574,8
HP:0100582,3
HP:0100644,9
HP:0100669,3
HP:0100743,8
HP:0100751,8
HP:0100833,8
HP:0007299,7
HP:0100627,1
HP:0008665,1
HP:0000157,3
HP:0001088,11
HP:0001622,23
HP:0002126,7
HP:0006829,2
HP:0008167,13
HP:0009891,3
HP:0012736,7
HP:0000588,3
HP:0000892,15
HP:0000921,15
HP:0001302,7
HP:0001338,7
HP:0002036,6
HP:0002884,8
HP:0003305,15
HP:0003316,15
HP:0005338,3
HP:0005815,15
HP:0010759,3
HP:0011343,7
HP:0012469,7
HP:0001881,10
HP:0007626,3
HP:0000563,11
HP:0003022,15
HP:0003189,3
HP:0004617,15
HP:0006571,17
HP:0001272,7
HP:0002067,7
HP:0002716,16
HP:0007730,11
HP:0011358,9
HP:0012145,10
HP:0004467,3
HP:0100542,1
HP:0005107,15
HP:0200063,8
HP:0002582,17
HP:0003270,17
HP:0001392,17
HP:0000036,1
HP:0000221,3
HP:0000820,21
HP:0001317,7
HP:0004390,8
HP:0006731,21
HP:0009720,3
HP:0012032,8
HP:0012062,15
HP:0012114,1
HP:0012740,9
HP:0100031,21
HP:0100780,3
HP:0000445,3
HP:0000940,15
HP:0001176,24
HP:0001182,15
HP:0001500,15
HP:0001702,5
HP:0001804,9
HP:0002191,7
HP:0002868,15
HP:0006288,3
HP:0007370,7
HP:0010049,15
HP:0010788,1
HP:0100013,14
HP:0002224,9
HP:0002617,5
HP:0006579,9
HP:0008070,9
HP:0008368,15
HP:0000090,1
HP:0000766,15
HP:0001162,15
HP:0001830,15
HP:0000072,1
HP:0000202,3
HP:0003043,15
HP:0009755,3
HP:0009943,15
HP:0000068,1
HP:0000073,1
HP:0000340,3
HP:0001696,5
HP:0001746,16
HP:0001747,16
HP:0002084,3
HP:0002323,7
HP:0006706,17
HP:0006870,7
HP:0010295,3
HP:0010459,1
HP:0000039,1
HP:0000190,3
HP:0001241,15
HP:0001651,5
HP:0005561,10
HP:0006695,5
HP:0011065,3
HP:0011830,3
HP:0001612,12
HP:0002375,7
HP:0003560,2
HP:0003741,2
HP:0009025,6
HP:0030091,2
HP:0030234,13
HP:0100295,2
HP:0002181,7
HP:0002446,7
HP:0002783,4
HP:0002835,4
HP:0005216,7
HP:0010754,3
HP:0012747,7
HP:0001339,7
HP:0002058,3
HP:0002791,4
HP:0004878,15
HP:0006879,7
HP:0007141,7
HP:0012664,5
HP:0000798,1
HP:0003251,1
HP:0008669,1
HP:0011961,1
HP:0000544,11
HP:0003693,2
HP:0012074,11
HP:0001540,2
HP:0001901,10
HP:0002667,1
HP:0002859,8
HP:0003006,7
HP:0005487,3
HP:0006254,13
HP:0008186,21
HP:0008676,1
HP:0012090,17
HP:0030255,8
HP:0100243,8
HP:0000852,21
HP:0001520,0
HP:0000105,1
HP:0000363,22
HP:0001139,11
HP:0001528,0
HP:0001539,6
HP:0001998,13
HP:0003271,17
HP:0005616,15
HP:0006267,23
HP:0008523,22
HP:0009908,22
HP:0030720,23
HP:0100555,0
HP:0100876,3
HP:0430026,3
HP:0000329,8
HP:0000362,22
HP:0000193,3
HP:0000244,3
HP:0002032,17
HP:0004397,17
HP:0004487,3
HP:0004635,15
HP:0009601,15
HP:0011380,22
HP:0002301,7
HP:0000473,2
HP:0006855,7
HP:0000656,3
HP:0001019,9
HP:0001107,11
HP:0000483,11
HP:0001623,23
HP:0003327,2
HP:0005855,15
HP:0000602,11
HP:0000775,2
HP:0001349,3
HP:0002089,4
HP:0007514,13
HP:0003325,2
HP:0003557,2
HP:0003722,3
HP:0009027,2
HP:0030198,7
HP:0002877,4
HP:0030200,7
HP:0001290,2
HP:0002792,4
HP:0002068,7
HP:0003546,2
HP:0003690,2
HP:0009055,2
HP:0009058,2
HP:0000467,3
HP:0002671,9
HP:0006739,9
HP:0007750,11
HP:0003484,2
HP:0031047,10
HP:0007340,2
HP:0010546,7
HP:0001348,7
HP:0002061,7
HP:0002166,7
HP:0002362,7
HP:0011448,7
HP:0012514,7
HP:0001059,15
HP:0002314,7
HP:0007020,7
HP:0100561,7
HP:0000012,1
HP:0002064,7
HP:0007350,7
HP:0008075,24
HP:0002921,7
HP:0012898,7
HP:0011342,7
HP:0001298,7
HP:0003542,13
HP:0009126,6
HP:0003393,2
HP:0003392,2
HP:0003426,2
HP:0003427,2
HP:0009031,2
HP:0009053,2
HP:0006892,7
HP:0000020,1
HP:0009049,2
HP:0000657,11
HP:0001285,7
HP:0002079,7
HP:0002359,7
HP:0006895,7
HP:0007325,7
HP:0007366,7
HP:0007371,7
HP:0011096,7
HP:0005656,24
HP:0010677,1
HP:0012677,7
HP:0100515,1
HP:0000046,1
HP:0000370,22
HP:0000561,3
HP:0002006,3
HP:0005990,21
HP:0009795,3
HP:0011219,3
HP:0011109,3
HP:0100338,3
HP:0410031,3
HP:0000161,3
HP:0008501,3
HP:0000059,1
HP:0000667,11
HP:0000965,9
HP:0001956,0
HP:0002557,14
HP:0002580,17
HP:0008850,0
HP:0010034,15
HP:0010300,12
HP:0012165,15
HP:0000289,3
HP:0000437,3
HP:0000871,7
HP:0001679,5
HP:0004409,3
HP:0006315,3
HP:0009794,3
HP:0009914,3
HP:0009924,3
HP:0010301,7
HP:0010302,7
HP:0011100,17
HP:0100336,3
HP:0100596,3
HP:0007443,9
HP:0007544,9
HP:0001669,5
HP:0000320,3
HP:0002718,16
HP:0004429,16
HP:0005403,10
HP:0010976,10
HP:0000055,1
HP:0004097,15
HP:0008689,1
HP:0002814,24
HP:0003275,15
HP:0008388,9
HP:0100810,22
HP:0100553,0
HP:0100554,0
HP:0100764,8
HP:0005988,3
HP:0000383,3
HP:0100257,15
HP:0001581,9
HP:0002110,4
HP:0003473,7
HP:0000705,3
HP:0002090,4
HP:0002841,16
HP:0011084,3
HP:0011274,16
HP:0000970,9
HP:0011079,3
HP:0100798,9
HP:0001803,9
HP:0001807,9
HP:0005597,9
HP:0002586,16
HP:0000132,1
HP:0030016,1
HP:0100608,1
HP:0000033,1
HP:0000051,1
HP:0100779,1
HP:0010741,13
HP:0006597,7
HP:0007009,7
HP:0005212,17
HP:0008410,9
HP:0200016,9
HP:0005150,5
HP:0011702,5
HP:0002217,9
HP:0005108,15
HP:0006498,15
HP:0008398,9
HP:0009239,15
HP:0011937,9
HP:0100371,15
HP:0000729,7
HP:0007064,7
HP:0100851,7
HP:0007086,7
HP:0000243,3
HP:0000752,7
HP:0002195,7
HP:0002363,7
HP:0007033,7
HP:0007642,11
HP:0030088,21
HP:0012871,1
HP:0040019,15
HP:0100710,7
HP:0002648,3
HP:0006889,7
HP:0005148,5
HP:0007204,7
HP:0008240,7
HP:0008513,22
HP:0012447,7
HP:0000448,3
HP:0000452,3
HP:0001650,5
HP:0001684,5
HP:0002720,10
HP:0005134,5
HP:0005164,5
HP:0011596,5
HP:0012382,5
HP:0003413,15
HP:0000479,11
HP:0001018,9
HP:0002370,7
HP:0002751,15
HP:0000692,3
HP:0001195,23
HP:0005474,3
HP:0005600,9
HP:0012056,9
HP:0000616,11
HP:0001765,15
HP:0012675,7
HP:0000711,7
HP:0002384,7
HP:0011098,7
HP:0002346,7
HP:0004887,4
HP:0009073,2
HP:0002828,15
HP:0006466,2
HP:0007126,2
HP:0007502,9
HP:0003323,2
HP:0003391,2
HP:0003551,2
HP:0003700,2
HP:0009046,2
HP:0003403,2
HP:0003687,2
HP:0100807,15
HP:0000554,11
HP:0000573,5
HP:0001810,9
HP:0001821,9
HP:0001880,10
HP:0002558,14
HP:0004050,15
HP:0005922,24
HP:0007850,11
HP:0008402,9
HP:0200043,9
HP:0001279,5
HP:0001436,2
HP:0002194,7
HP:0004488,3
HP:0005268,23
HP:0003477,7
HP:0003738,2
HP:0008981,2
HP:0012768,4
HP:0000024,1
HP:0001717,15
HP:0002621,5
HP:0004380,15
HP:0004690,15
HP:0005645,15
HP:0100550,15
HP:0100593,15
HP:0100773,15
HP:0000080,1
HP:0000802,1
HP:0001769,24
HP:0001869,9
HP:0003859,15
HP:0004099,15
HP:0006191,9
HP:0012802,3
HP:0100518,1
HP:0100607,21
HP:0100786,7
HP:0100829,14
HP:0002584,5
HP:0011073,3
HP:0000122,1
HP:0000652,3
HP:0002984,15
HP:0006501,15
HP:0007776,3
HP:0009829,15
HP:0003218,13
HP:0003526,13
HP:0000049,1
HP:0000954,9
HP:0001169,24
HP:0003319,15
HP:0005640,15
HP:0001598,9
HP:0006650,15
HP:0009780,15
HP:0010624,9
HP:0000680,3
HP:0005607,4
HP:0007016,7
HP:0000882,15
HP:0000894,15
HP:0004331,3
HP:0008391,9
HP:0001135,11
HP:0001572,3
HP:0004283,24
HP:0011308,15
HP:0100874,9
HP:0000951,9
HP:0001695,5
HP:0003110,1
HP:0006566,17
HP:0011985,17
HP:0000887,15
HP:0003411,15
HP:0003796,15
HP:0005257,15
HP:0001776,24
HP:0005879,2
HP:0010489,9
HP:0002657,15
HP:0006603,15
HP:0000127,1
HP:0000151,1
HP:0000835,21
HP:0000848,21
HP:0001197,23
HP:0001941,13
HP:0004319,21
HP:0003107,13
HP:0003154,21
HP:0012605,1
HP:0007574,9
HP:0008073,23
HP:0008163,21
HP:0008232,7
HP:0008730,1
HP:0010789,1
HP:0011106,5
HP:0011749,7
HP:0011969,21
HP:0012244,1
HP:0012245,1
HP:0012598,1
HP:0012854,1
HP:0030349,21
HP:0030369,23
HP:0001972,10
HP:0000013,1
HP:0000133,1
HP:0001271,7
HP:0002460,2
HP:0003130,7
HP:0003376,7
HP:0003434,7
HP:0006984,7
HP:0008214,21
HP:0008715,1
HP:0008723,1
HP:0010464,1
HP:0045010,7
HP:0000141,1
HP:0000953,9
HP:0000998,9
HP:0001084,11
HP:0001433,16
HP:0001954,13
HP:0002257,3
HP:0007380,9
HP:0012385,15
HP:0012724,3
HP:0030053,9
HP:0100324,9
HP:0100727,10
HP:0004490,3
HP:0005731,15
HP:0005791,15
HP:0006465,15
HP:0010702,10
HP:0100963,7
HP:0000868,1
HP:0002850,10
HP:0002860,9
HP:0004315,10
HP:0005585,9
HP:0005598,9
HP:0002478,7
HP:0008339,1
HP:0000526,11
HP:0002168,7
HP:0001838,15
HP:0010557,15
HP:0002592,17
HP:0009800,21
HP:0100016,17
HP:0002059,7
HP:0003049,15
HP:0000378,22
HP:0007651,3
HP:0009836,15
HP:0002000,3
HP:0002745,3
HP:0010450,17
HP:0100670,15
HP:0000522,11
HP:0001278,7
HP:0001649,5
HP:0002585,17
HP:0000176,3
HP:0002025,17
HP:0006721,10
HP:0009602,15
HP:0003019,15
HP:0003311,15
HP:0003498,0
HP:0003834,15
HP:0000864,21
HP:0002789,4
HP:0100453,15
HP:0008182,21
HP:0001951,13
HP:0005961,13
HP:0003217,13
HP:0009886,9
HP:0008331,13
HP:0000555,11
HP:0006385,15
HP:0100814,9
HP:0200041,9
HP:0005472,3
HP:0001718,5
HP:0012304,5
HP:0002916,13
HP:0011560,5
HP:0003281,13
HP:0003452,13
HP:0100326,16
HP:0100495,10
HP:0100725,9
HP:0000206,3
HP:0008353,1
HP:0012086,1
HP:0003161,1
HP:0003607,1
HP:0010917,13
HP:0000104,1
HP:0000636,3
HP:0008417,15
HP:0008605,22
HP:0002033,17
HP:0006380,2
HP:0012785,2
HP:0002415,7
HP:0012120,1
HP:0005110,5
HP:0010316,5
HP:0011575,5
HP:0011712,5
HP:0009918,11
HP:0011976,1
HP:0002132,7
HP:0002826,15
HP:0003336,15
HP:0002282,7
HP:0100781,15
HP:0002890,21
HP:0011387,22
HP:0004437,3
HP:0000535,3
HP:0011002,15
HP:0007817,11
HP:0003173,15
HP:0003175,15
HP:0003177,15
HP:0008479,15
HP:0005199,2
HP:0010957,1
HP:0003715,2
HP:0004418,10
HP:0010516,21
HP:0100521,21
HP:0100560,0
HP:0100730,4
HP:0000107,1
HP:0001555,15
HP:0007552,9
HP:0007818,11
HP:0007899,11
HP:0009594,3
HP:0010497,24
HP:0010566,8
HP:0010816,9
HP:0002107,4
HP:0002643,4
HP:0002781,4
HP:0008221,21
HP:0100642,21
HP:0001264,7
HP:0001814,9
HP:0004474,3
HP:0009106,15
HP:0008625,22
HP:0005245,17
HP:0001734,17
HP:0001847,15
HP:0002247,17
HP:0010761,3
HP:0000556,11
HP:0001320,7
HP:0002419,7
HP:0100867,17
HP:0002589,17
HP:0005039,15
HP:0005743,15
HP:0010230,15
HP:0005406,9
HP:0001180,15
HP:0001704,5
HP:0007650,11
HP:0008972,13
HP:0000961,9
HP:0002202,13
HP:0005180,5
HP:0011852,5
HP:0009896,22
HP:0010307,4
HP:0001188,24
HP:0007773,11
HP:0000653,3
HP:0002738,3
HP:0002896,8
HP:0004377,10
HP:0006753,8
HP:0006758,1
HP:0009726,1
HP:0012118,4
HP:0100684,3
HP:0005914,15
HP:0009751,2
HP:0100783,14
HP:0003292,21
HP:0005407,10
HP:0005419,10
HP:0008724,1
HP:0000831,21
HP:0004926,7
HP:0008245,7
HP:0000168,3
HP:0001119,11
HP:0009721,9
HP:0010620,3
HP:0100823,6
HP:0001289,7
HP:0001300,7
HP:0002185,7
HP:0002463,7
HP:0003791,2
HP:0012759,7
HP:0000734,7
HP:0010525,7
HP:0011446,7
HP:0030219,7
HP:0001882,10
HP:0006756,8
HP:0007754,11
HP:0010784,1
HP:0005592,9
HP:0000813,1
HP:0002245,17
HP:0005522,10
HP:0006265,15
HP:0007874,3
HP:0010293,3
HP:0010469,1
HP:0012041,1
HP:0012210,1
HP:0012745,3
HP:0100587,1
HP:0000071,1
HP:0001269,7
HP:0002293,3
HP:0001015,9
HP:0002305,7
HP:0100654,11
HP:0004482,3
HP:0000032,1
HP:0000855,13
HP:0001988,13
HP:0010782,9
HP:0011844,15
HP:0012412,21
HP:0000957,9
HP:0005484,3
HP:0008935,2
HP:0010305,15
HP:0030736,1
HP:0100672,1
HP:0000119,1
HP:0000891,15
HP:0002949,15
HP:0002990,15
HP:0003974,15
HP:0004717,1
HP:0006495,15
HP:0006507,15
HP:0007413,9
HP:0100694,15
HP:0100682,4
HP:0000114,1
HP:0002085,3
HP:0000991,9
HP:0001114,3
HP:0002518,7
HP:0001816,9
HP:0006872,7
HP:0004330,3
HP:0009803,15
HP:0002307,3
HP:0011499,11
HP:0000016,1
HP:0002111,4
HP:0003555,2
HP:0008800,15
HP:0008978,2
HP:0012764,4
HP:0031237,2
HP:0008963,2
HP:0100293,2
HP:0003707,2
HP:0006467,15
HP:0002943,15
HP:0000155,3
HP:0001659,5
HP:0002102,4
HP:0011107,3
HP:0012649,16
HP:0100653,11
HP:0100796,1
HP:0002875,4
HP:0006530,4
HP:0002207,4
HP:0009071,2
HP:0011703,5
HP:0100723,8
HP:0003789,2
HP:0000741,7
HP:0000751,7
HP:0007110,4
HP:0003731,2
HP:0001604,4
HP:0010550,7
HP:0000017,1
HP:0001262,7
HP:0002980,15
HP:0004586,15
HP:0002905,13
HP:0004755,5
HP:0004756,5
HP:0011964,7
HP:0012416,4
HP:0031320,5
HP:0040290,2
HP:0001722,5
HP:0002913,1
HP:0003256,10
HP:0006682,5
HP:0008942,2
HP:0009045,2
HP:3000005,3
HP:0003330,15
HP:0012719,17
HP:0008386,9
HP:0000045,1
HP:0030513,11
HP:0005288,3
HP:0008577,22
HP:0100024,7
HP:0001591,15
HP:0008050,3
HP:0100297,2
HP:0000777,21
HP:0001283,7
HP:0030006,2
HP:0030208,16
HP:0030210,16
HP:0001370,15
HP:0002725,16
HP:0003076,1
HP:0030880,5
HP:0012410,10
HP:0000169,3
HP:0002539,7
HP:0006772,1
HP:0009716,7
HP:0009718,7
HP:0009722,3
HP:0009727,11
HP:0009729,5
HP:0010310,13
HP:0010609,9
HP:0012798,8
HP:0100804,9
HP:0001751,22
HP:0008568,22
HP:0008959,2
HP:0012391,7
HP:0004976,15
HP:0005001,15
HP:0008954,2
HP:0002475,7
HP:0100811,17
HP:0005679,2
HP:0010472,13
HP:0007675,11
HP:0006335,3
HP:0001970,1
HP:0025426,4
HP:0011134,13
HP:0002273,7
HP:0002425,7
HP:0003781,3
HP:0100534,11
HP:0100665,9
HP:0200039,9
HP:0000118,20
HP:0000134,1
HP:0000811,1
HP:0000812,1
HP:0008193,21
HP:0010790,1
HP:0000030,1
HP:0012872,1
HP:0007103,7
HP:0001071,9
HP:0004491,3
HP:0008188,21
HP:0001730,22
HP:0002311,7
HP:0002385,7
HP:0003474,7
HP:0004302,2
HP:0007199,7
HP:0008969,2
HP:0000011,1
HP:0000846,21
HP:0008768,7
HP:0011733,21
HP:0002474,7
HP:0002487,7
HP:0003645,10
HP:0004691,15
HP:0008151,10
HP:0008443,15
HP:0012103,13
HP:0100537,16
HP:0100748,13
HP:0100520,1
HP:0000163,3
HP:0002955,10
HP:0003565,13
HP:0000338,3
HP:0000514,11
HP:0002172,7
HP:0002367,7
HP:0011960,7
HP:0031435,12
HP:0100315,7
HP:0008344,13
HP:0001996,13
HP:0003343,13
HP:0001980,10
HP:0007210,2
HP:0001543,17
HP:0005285,3
HP:0000358,22
HP:0001552,15
HP:0002938,15
HP:0003027,15
HP:0002421,2
HP:0002616,5
HP:0006673,5
HP:0008081,24
HP:0007333,7
HP:0011121,9
HP:0012219,9
HP:0100828,10
HP:0200036,9
HP:0000433,3
HP:0000502,3
HP:0000620,3
HP:0001010,9
HP:0002733,16
HP:0002922,7
HP:0007734,3
HP:0011801,3
HP:0011850,3
HP:0012243,1
HP:0030146,17
HP:0030872,5
HP:0040186,9
HP:0100699,6
HP:0200035,9
HP:0001367,15
HP:0001698,5
HP:0000460,3
HP:0000565,11
HP:0012376,11
HP:0007375,7
HP:0002242,17
HP:0001406,17
HP:0010837,13
HP:0011967,13
HP:0002317,7
HP:0007108,7
HP:0007361,7
HP:0007922,11
HP:0007979,11
HP:0011931,7
HP:0012104,7
HP:0012896,7
HP:0100702,7
HP:0002495,7
HP:0003438,7
HP:0010830,7
HP:0001890,10
HP:0001973,10
HP:0001904,10
HP:0007083,7
HP:0008003,11
HP:0003115,5
HP:0010794,7
HP:0200101,7
HP:0005775,15
HP:0010290,3
HP:0002324,7
HP:0002908,13
HP:0002871,4
HP:0100792,9
HP:0000571,11
HP:0000658,3
HP:0002145,7
HP:0002548,7
HP:0004373,7
HP:0007058,7
HP:0007153,7
HP:0025262,15
HP:0040081,13
HP:0000605,11
HP:0000746,7
HP:0100643,9
HP:0011658,5
HP:0100586,1
HP:0000589,3
HP:0001548,3
HP:0002885,7
HP:0005249,17
HP:0006337,3
HP:0010603,3
HP:0012424,11
HP:0025092,9
HP:0005274,3
HP:0010970,10
HP:0010987,16
HP:0012861,1
HP:0011735,21
HP:0002173,7
HP:0011748,7
HP:0002920,21
HP:0001897,10
HP:0100647,21
HP:0006462,15
HP:0003774,1
HP:0008231,21
HP:0400008,1
HP:0002179,7
HP:0002329,7
HP:0002521,7
HP:0010553,7
HP:0012440,17
HP:0010638,13
HP:0012522,9
HP:0012700,17
HP:0030168,9
HP:0100279,16
HP:0100869,9
HP:0001402,8
HP:0003073,13
HP:0003459,10
HP:0004905,13
HP:0011892,13
HP:0030153,8
HP:0040275,8
HP:0100513,13
HP:0100626,17
HP:0100575,8
HP:0005429,16
HP:0011034,13
HP:0011744,21
HP:0030521,11
HP:0030591,11
HP:0007807,11
HP:0009050,2
HP:0012246,11
HP:0000870,7
HP:0011763,7
HP:0200026,11
HP:0430022,3
HP:0001937,10
HP:0045040,13
HP:0004431,16
HP:0005339,16
HP:0005356,16
HP:0005416,16
HP:0040229,10
HP:0001580,21
HP:0002659,15
HP:0011195,7
HP:0007270,7
HP:0010818,7
HP:0010819,7
HP:0012075,7
HP:0010829,7
HP:0002361,7
HP:0010849,7
HP:0011170,7
HP:0011203,7
HP:0012658,7
HP:0200134,7
HP:0011153,7
HP:0011168,7
HP:0011167,7
HP:0011355,9
HP:0030057,16
HP:0003089,15
HP:0008946,2
HP:0009060,2
HP:0012037,2
HP:0000683,3
HP:0003155,13
HP:0003493,16
HP:0003496,10
HP:0011040,17
HP:0012203,16
HP:0003261,10
HP:0011971,9
HP:0005112,5
HP:0003481,7
HP:0010871,7
HP:0012078,7
HP:0040129,7
HP:0030237,2
HP:0010833,7
HP:0009124,6
HP:0000756,7
HP:0002267,7
HP:0012894,2
HP:0002815,15
HP:0001377,15
HP:0003184,15
HP:0006376,15
HP:0011843,15
HP:0010547,2
HP:0009113,2
HP:0008392,9
HP:0002570,17
HP:0003193,3
HP:0001047,9
HP:0002243,17
HP:0001058,9
HP:0011990,10
HP:0001818,9
HP:0003212,10
HP:0000623,11
HP:0002529,7
HP:0012535,7
HP:0000511,11
HP:0002171,7
HP:0002200,7
HP:0005213,15
HP:0005984,13
HP:0004430,16
HP:0001341,7
HP:0000387,22
HP:0008517,15
HP:0011867,15
HP:0100027,16
HP:0012379,13
HP:0030247,10
HP:0002235,9
HP:0003405,7
HP:0003429,7
HP:0005109,15
HP:0002936,7
HP:0012503,7
HP:0007479,9
HP:0000878,15
HP:0002786,4
HP:0002982,15
HP:0003038,15
HP:0006584,15
HP:0007036,7
HP:0008477,15
HP:0012364,1
HP:0001098,11
HP:0007766,11
HP:0011003,11
HP:0001055,9
HP:0002215,9
HP:0002221,9
HP:0002225,9
HP:0002555,9
HP:0008655,1
HP:0008684,1
HP:0004846,10
HP:0005261,15
HP:0000138,1
HP:0010881,23
HP:0011891,10
HP:0001748,16
HP:0004510,21
HP:0009536,15
HP:0011739,21
HP:0040084,21
HP:0002018,17
HP:0011410,23
HP:0011746,21
HP:0002865,21
HP:0003005,7
HP:0006443,15
HP:0100631,21
HP:0010964,13
HP:0012071,13
HP:0010461,1
HP:0010806,3
HP:0011328,3
HP:0000719,7
HP:0001067,7
HP:0012810,3
HP:0100797,9
HP:0001334,7
HP:0002876,4
HP:0004757,5
HP:0009777,15
HP:0003063,15
HP:0010772,5
HP:0001056,9
HP:0004782,9
HP:0003777,9
HP:0200102,3
HP:0009888,9
HP:0005625,15
HP:0010311,14
HP:0100309,7
HP:0011962,1
HP:0012873,1
HP:0001962,5
HP:0003635,6
HP:0005184,5
HP:0000876,1
HP:0001007,9
HP:0001662,5
HP:0001714,5
HP:0003414,15
HP:0012084,2
HP:0000824,7
HP:0000277,3
HP:0000677,3
HP:0003146,13
HP:0002630,17
HP:0006565,17
HP:0100508,13
HP:0001927,10
HP:0000614,3
HP:0001795,9
HP:0001805,9
HP:0001806,9
HP:0001808,9
HP:0002744,3
HP:0005011,15
HP:0005876,15
HP:0007452,3
HP:0008846,0
HP:0009466,15
HP:0000060,1
HP:0000659,11
HP:0002263,3
HP:0008569,22
HP:0100819,17
HP:0010721,9
HP:0007618,15
HP:0010468,1
HP:0012060,9
HP:0100649,3
HP:0000196,3
HP:0010286,3
HP:0100267,3
HP:0007670,22
HP:0007392,9
HP:0004311,10
HP:0012384,3
HP:0030166,9
HP:0007990,11
HP:0011365,9
HP:0006274,21
HP:0004935,5
HP:0010997,13
HP:0011133,13
HP:0100009,7
HP:0012691,7
HP:0030341,21
HP:0030344,21
HP:0007715,11
HP:0008202,7
HP:0008237,7
HP:0011442,7
HP:0011730,7
HP:0011750,7
HP:0012285,7
HP:0012505,7
HP:0030532,11
HP:0100010,7
HP:0100661,7
HP:0002512,7
HP:0006520,4
HP:0010534,7
HP:0010828,7
HP:0011752,7
HP:0030766,22
HP:0030878,4
HP:0045026,18
HP:0100648,3
HP:0000580,11
HP:0001191,15
HP:0002818,15
HP:0002986,15
HP:0003031,15
HP:0005736,15
HP:0006248,15
HP:0006459,15
HP:0000148,1
HP:0001126,3
HP:0001602,4
HP:0001607,4
HP:0003183,15
HP:0003191,3
HP:0004112,3
HP:0007925,3
HP:0007993,3
HP:0010297,3
HP:0005026,15
HP:0000201,3
HP:0000634,11
HP:0000807,1
HP:0001600,4
HP:0001706,5
HP:0008322,13
HP:0000191,3
HP:0003083,15
HP:0007601,3
HP:0000131,1
HP:0001159,15
HP:0001518,0
HP:0003187,14
HP:0004207,15
HP:0009656,15
HP:0100759,15
HP:0006863,7
HP:0010529,7
HP:0011352,7
HP:0012169,7
HP:0012443,7
HP:0003683,3
HP:0030434,9
HP:0000110,1
HP:0000577,11
HP:0002143,7
HP:0005912,17
HP:0006710,15
HP:0011044,3
HP:0011467,17
HP:0030031,15
HP:0040262,22
HP:0001655,5
HP:0011646,5
HP:0004059,15
HP:0002223,3
HP:0011224,3
HP:0003982,15
HP:0005792,15
HP:0009813,15
HP:0001430,2
HP:0007002,7
HP:0007556,9
HP:0010486,2
HP:0005938,4
HP:0008743,1
HP:0000816,13
HP:0012401,1
HP:0003085,15
HP:0004396,17
HP:0000858,21
HP:0010743,15
HP:0002869,15
HP:0010097,15
HP:0011453,22
HP:0011454,22
HP:0001839,15
HP:0003762,1
HP:0006381,15
HP:0006426,15
HP:0002688,3
HP:0003396,7
HP:0008424,15
HP:0011305,15
